id,nom_abr,nom_lat,nom_2,Nom_3,prefixe_naissance,date_naissance,lieu_naissance,prefixe_mort,date_mort,lieu_mort,floruit,genre_pres
platon,Platon,,,,,-428,Athènes,,-348,Athènes,,M
aristote,Aristote,,,,,-384,Stagire,,-322,Chalcis,,M
theophraste,Théophraste,,,,c.,-371,Lesbos,c.,-287,Athènes,,M
epicure,Épicure,,,,,-341,Samos,,-270,Athènes,,M
ciceron,Cicéron,Marcus Tullius Cicero,,,,-106,Latium,,-43,Latium,,M
lucrece,Lucrèce,,,,c.,-99,Rome,c.,-55,Rome,,M
seneque,Sénèque,,,,,-4,Cordoue,,65,Rome,,M
plutarque,Plutarque,,,,,46,Chéronée,,125,Chéronée,,M
epictete,Épictète,,,,,50,Hiérapolis,c.,130,Nicopolis,,M
marcaurele,Marc Aurèle,,,,,121,Rome,,180,Pannonie,,M
empiricus,Sextus Empiricus,,,,c.,150,,,,,190.0,M
alexandredaphrodise,Alexandre d’Aphrodise,,,,c.,160,Aphrodisias,c.,225,Athènes,,M
plotin,Plotin,,,,,205,Lycopolis,,270,Naples,,M
porphyre,Porphyre,,Porphyre de Tyr,,,234,Tyr,c.,305,Rome,,M
augustin,Augustin d'Hippone,,,,,354,Thagaste,,430,Hippone,,M
boece,Boèce,Boethius,,,,480,Rome,,524,Pavie,,M
alkindi,Al-Kindi,Alkindius,,,,801,Koufa,,873,Bagdad,,M
alfarabi,Al-Farabi,,,,,872,Turkestan,,950,Damas,,M
avicenne,Avicenne,,Ibn Sina,,,980,c. Boukhara (Khorassan),,1037,Hamadan,,M
anselme,Anselme de Cantorbéry,,,,,1033,Aoste,,1109,Cantorbéry,,M
alghazali,Al-Ghazâlî,Algazel,,,,1058,Tus (Khorassan),,1111,Tus (Khorassan),,M
abelard,Pierre Abélard,,,,,1079,c. Nantes,,1142,c. Chalon-sur-Saône,,M
avempace,Avempace,,Ibn Bajja,,c.,1080,Saragosse,,1138,Fès,,M
averroes,Averroès,,Ibn Rushd,Ibn Rochd de Cordoue,,1126,Cordoue,,1198,Marrakech,,M
maimonide,Maïmonide,,Moïse Maïmonide,Rambam,,1138,Cordoue,,1204,Fostat,,M
henridegand,Henri de Gand,,,,,1217,Gand,,1293,Tournai,,M
thomas,Thomas d'Aquin,,,,,1224,c. Aquino,,1274,c. Priverno,,M
dante,Dante Alighieri,,,,,1265,Florence,,1321,Kent,,M
dunsscot,Jean Duns Scot,,John Duns Scotus,,,1266,Duns,,1308,Cologne,,M
ockham,Guillaume d’Ockham,,,,c.,1285,Ockham,,1347,Munich,,M
ficin,Marcile Ficin,,,,,1435,Valdarno,,1499,c. Florence,,M
erasme,Erasme,,,,,1467,Rotterdam,,1536,Bâle,,M
machiavel,Nicholas Machiavel,,Niccolo Machiavelli,,,1469,Florence,,1527,Florence,,M
castiglione,Baldassare Castiglione,,,,,1478,Mantoue,,1478,Tolède,,M
francoisguichardin,François Guichardin,,le Guichardin,,,1483,Florence,,1540,Florence,,M
montaigne,Michel Montaigne,,,,,1533,Dordogne,,1592,Dordogne,,M
giovannibotero,Giovanni Botero,,,,,1544,Piémont,,1617,Turin,,M
bruno,Giordano Bruno,,,,,1548,Nola,,1600,Rome,,M
bacon,Francis Bacon,,Baron de Verulam,Vicomte de St-Alban,,1561,Londres,,1626,Londres,,M
galilee,Galilée,,Galileo Galilei,,,1564,Pise,,1642,c. Florence,,M
hobbes,Thomas Hobbes,,Thomas Hobbes of Malmesbury,Thomas Hobbs of Malmsbury,,1588,Wiltshire,,1679,Derbyshire,,M
descartes,René Descartes,Renatus Cartesius,,,,1596,Touraine,,1650,Stockholm,,M
arnauld,Antoine Arnauld,,Le Grand Arnauld,,,1612,Paris,,1694,Bruxelles,,M
pascal,Blaise Pascal,,,,,1623,Clermont-Ferrand,,1662,Paris,,M
spinoza,Baruch Spinoza,Benedictus de Spinoza,Bento de Espinosa,,,1632,Amsterdam,,1670,La Haye,,M
locke,John Locke,,,,,1632,Somerset,,1704,Essex,,M
malebranche,Nicolas Malebranche,,,,,1638,Paris,,1715,Paris,,M
leibniz,G.W. Leibniz,,Gottfried Wilhelm Von Leibniz,Godefroi Guillaume Leibnitz,,1646,Leipzig,,1716,Hanovre,,M
bayle,Pierre Bayle,,,,,1647,Ariège,,1706,Rotterdam,,M
berkeley,George Berkeley,,,,,1685,Kilkenny,,1753,Oxford,,M
montesquieu,Montesquieu,,,,,1689,Gironde,,1755,Paris,,M
hume,David Hume,,,,,1711,Édimbourg,,1776,Édimbourg,,M
rousseau,Jean-Jacques Rousseau,,,,,1712,Genève,,1778,Oise,,M
diderot,Denis Diderot,,,,,1713,Haute-Marne,,1784,Paris,,M
condillac,Étienne Bonnot de Condillac,,,,,1714,Grenoble,,1780,Loiret,,M
dalembert,Jean-Baptiste le Rond d’Alembert,,,,,1717,Paris,,1783,Paris,,M
adamsmith,Adam Smith,,,,,1723,c. Édimbourg,,1790,Édimbourg,,M
kant,Immanuel Kant,,,,,1724,Königsberg,,1804,Königsberg,,M
burke,Edmund Burke,,,,,1729,Dublin,,1797,c. Londres,,M
beccaria,Cesare Beccaria,,,,,1738,Milan,,1794,Milan,,M
fichte,Johann Gottlieb Fichte,,,,,1762,Saxe,,1814,Berlin,,M
mainedebiran,Maine de Biran,,François-Pierre-Gonthier Maine de Biran,,,1766,Bergerac,,1824,Paris,,M
hegel,Georg Wilhelm Friedrich Hegel,,,,,1770,Stuttgart,,1831,Berlin,,M
schelling,Friedrich Wilhelm Joseph Schelling,,,,,1775,Leonberg,,1854,Saint-Gall (Suisse),,M
clausewitz,Carl von Clausewitz,,,,,1780,Magdebourg,,1831,Breslau,,M
schopenhauer,Arthur Schopenhauer,,,,,1788,Gdansk,,1860,Francfort,,M
comte,Auguste Comte,,,,,1798,Montpellier,,1857,Paris,,M
cournot,Antoine-Augustin Cournot,,,,,1801,Haute-Saône,,1877,Paris,,M
feuerbach,Ludwig Feuerbach,,,,,1804,Bavière,,1872,Nuremberg,,M
tocqueville,Alexis de Tocqueville,,,,,1805,Paris,,1859,Cannes,,M
mill,John Stuart Mill,,,,,1806,Londres,,1873,Avignon,,M
ravaisson,Félix Ravaisson,,,,,1813,Namur,,1900,Paris,,M
marx,Karl Marx,,,,,1818,Moselle,,1883,Londres,,M
dilthey,Wilhelm Dilthey,,,,,1833,Wiesbaden,,1911,Tyrol,,M
peirce,Charles Sanders Peirce,,,,,1839,Cambridge Mass,,1914,"Milford, Penn",,M
james,William James,,,,,1842,New-York,,1910,New Hampshire,,M
nietzsche,Friedrich Nietzsche,,,,,1844,Saxe-Anhalt,,1900,Weimar,,M
frege,Gottlob Frege,,,,,1848,Wismar,,1925,c. Hamburg,,M
poincare,Henri Poincaré,,,,,1854,Nancy,,1912,Paris,,M
simmel,Georg Simmel,,,,,1858,Berlin,,1918,Strasbourg,,M
durkheim,Émile Durkheim,,,,,1858,Épinal,,1917,Paris,,M
bergson,Henri Bergson,,,,,1859,Paris,,1941,Paris,,M
husserl,Edmund Husserl,,,,,1859,Moravie,,1938,Fribourg,,M
dewey,John Dewey,,,,,1859,Vermont,,1952,New York City,,M
whitehead,Alfred North Whitehead,,,,,1861,Kent,,1947,"Cambridge, Mass",,M
duhem,Pierre Duhem,,,,,1861,Paris,,1916,Carcassonne,,M
weber,Max Weber,,,,,1864,Erfurt,,1920,Munich,,M
croce,Benedetto Croce,,,,,1866,Aquila,,1952,Naples,,M
giusepperensi,Giuseppe Rensi,,,,,1871,Vérone,,1941,Gênes,,M
russell,Bertrand Russell,,,,,1872,Monmouthshire,,1970,Caernarfonshire,,M
davidross,David Ross,,William David Ross,,,1877,"Caithness, Écosse",,1971,Oxford,,M
ernstbloch,Ernst Bloch,,,,,1885,Ludwigshafen,,1977,Tübingen,,M
heidegger,Martin Heidegger,,,,,1889,Baden-Württemberg,,1976,Fribourg,,M
wittgenstein,Ludwig Wittgenstein,,,,,1889,Vienne,,1951,"Cambridge, UK",,M
gramsci,Antonio Gramsci,,,,,1891,Sardaigne,,1937,Rome,,M
carnap,Rudolf Carnap,,,,,1891,Ronsdorf,,1970,Los Angeles,,M
benjamin,Walter Benjamin,,,,,1892,Berlin,,1940,Portbou,,M
adorno,Theodor W. Adorno,,,,,1903,Francfort,,1969,"Valais, Suisse",,M
canguilhem,Georges Canguilhem,,,,,1904,Castelnaudary,,1995,Yvelines,,M
sartre,Jean-Paul Sartre,,,,,1905,Paris,,1980,Paris,,M
aron,Raymond Aron,,,,,1905,Paris,,1983,Paris,,M
arendt,Hannah Arendt,,,,,1906,Hanovre,,1975,New York City,,F
goodman,Nelson Goodman,,,,,1906,Massachusetts,,1998,Massachusetts,,M
merleauponty,Maurice Merleau-Ponty,,,,,1908,Rochefort,,1961,Paris,,M
levistrauss,Claude Lévi-Strauss,,,,,1908,Bruxelles,,2009,Paris,,M
quine,Willard Van Orman Quine,,,,,1908,"Akron, Ohio",,2000,Boston,,M
strawson,P. F. Strawson,,,,,1919,Londres,,2006,Oxford,,M
anscombe,Elizabeth Anscombe,,G. E. M. Anscombe,,,1919,Limerick,,2001,"Cambridge, UK",,F
rawls,John Rawls,,,,,1921,Baltimore,,2002,"Lexington, Mass",,M
deleuze,Gilles Deleuze,,,,,1925,Paris,,1995,Paris,,M
putnam,Hilary Putnam,,,,,1926,Chicago,,2016,Boston,,M
foucault,Michel Foucault,,,,,1926,Poitiers,,1984,Paris,,M
bernardwilliams,Bernard Williams,,,,,1929,Essex,,2003,Rome,,M
