Année,Auteur ENS,Auteur Agreg 1,Auteur Agreg 2
2002.0,Marc-Aurèle,Platon,Leibniz
2003.0,Bergson,L'épicurisme antique,Leibniz
2004.0,Aristote,Aristote,Locke
2005.0,Rousseau,Augustin,Hegel
2006.0,Platon,Spinoza,Heidegger
2007.0,Leibniz,Les Stoïciens,Nietzsche
2008.0,Aristote,Aristote,Pascal
2009.0,Descartes,Platon,Hume
2010.0,Plotin,Aristote,Wittgenstein
2011.0,Spinoza,Cicéron,Kant
2012.0,Bergson,Plotin,Rousseau
2013.0,Cicéron,Hobbes,Bergson
2014.0,D. Hume,Les atomistes antiques,Descartes
2015.0,Aristote,Platon,Marx
2016.0,Spinoza,Aristote,Spinoza
2017.0,Berkeley,Augustin,Hume
2018.0,Leibniz,Les Stoïciens,Leibniz
2019.0,Platon,Locke,Hegel
2020.0,Pascal,Platon,Nietzsche
2021.0,Nietzsche,Aristote,Diderot
2022.0,Platon,Hobbes,Wittgenstein
2023.0,Aristote,Cicéron,Kant
2024.0,Hegel,Montaigne,Husserl
2025.0,Lucrèce,Augustin,Montesquieu
2026.0,Epictète,Les atomistes antiques,Bachelard
2027.0,Kant,Plotin,Marx
