Année,Notions,Sujets BEL,Sujets BCE,Oeuvre I,Oeuvre II
2021,"La politique, le droit","« L’Etat, c’est moi »",,"Nietzsche, Gai Savoir, § 370","Descartes, Méditations Métaphysiques"
2020,La science,Science et objectivité,Qu’est-ce qui gouverne la science ?,"Pascal, Pensées, fr. 110","Aristote, Métaphysique Ⲅ"
2019,La métaphysique,Peut-il y avoir des expériences métaphysiques ?,Qu’est-ce qui n’existe pas ?,"Platon, Le Politique,","Sartre, L’Etre et le néant, I et II"
2018,La morale,La responsabilité,Règles morales et conduites sociales,"Leibniz, Lettre à Arnauld, 14 juillet
1686","James, Le Pragmatisme"
2017,Sciences humaines,Peut-on délimiter l’humain ?,Les cultures humaines sont- elles des constructions ?,"Berkeley, Dialogue entre Hylas et Philonous, III","Kant,
Prolégomènes"
2016,"La politique, le droit",Que peut-on interdire ?,De quel droit certains veulent- ils changer la société ?,"Spinoza, Traité de la réforme de l’entendement, § 77-79","Husserl, Méditations cartésiennes"
2015,La science,Expliquer,La science et l’inconnaissable,"Aristote, De l’âme, III, 8","Rousseau, 2nd Discours"
2014,L’art et la technique,Le corps peut-il être objet d’art ?,L’oeuvre d’art est toujours une forme finie. Quel sens y a-t-il à soutenir qu'elle nous met en contact avec l’infini ?,"D. Hume, Enquête sur l’entendement humain, V-2","Épicure, Lettres, maximes, sentences, LdP"
2013,La métaphysique,La cause,"L’Etre, le Vrai, le Beau, le Bien : qu’ont dans l’esprit ceux qui écrivent ces mots avec des majuscules ?","Cicéron, Académiques, § 92-93","Malebranche, Traité de morale, I"
2012,"La politique, le droit",Qu’est-ce qui est hors la loi ?,"Les juristes romains définissaient le droit comme le fait de suum quique tribuere,
« rendre à chacun le sien »; que faut-il en penser ?","Bergson, Essai sur les données immédiates, II, p. 80","Montesquieu,
Esprit des lois, I"
2011,La science. La morale,Les sciences sont- elles une description du monde ?,"Citation de Dostoïevski,Les Frères Karamazov : « En vérité chacun est coupable devant tous pour tous et pour tout »","Spinoza, Ethique, IV, Appendice,
3-6","Lucrèce, De la nature des choses."
2010,La science. L’art et la technique,L’imitation,L’art peut-il changer le monde ?,"Plotin, Traité 38,
Chap. 41","Kant, Fondements de la métaphysique des moeurs."
2009,"La science. La politique, le droit",Pourquoi punir ?,"De quoi la science vit-elle, de quoi peut-elle mourir ?","Descartes,
Méditations, V",
2008,,L’égalité,,"Aristote,
Physique, III, 6",
2007,,Peut-on tout dire ?,,"Leibniz, Théodicée, III, p. 334-335",
2006,,Faut-il avoir peur de la nature ?,,"Platon, République, VII, 533b-e",
2005,,Pourquoi y a-t-il des lois ?,,"Rousseau, 2nd Discours, Folio,
p. 86",
2004,,Qu'est-ce que mourir ?,,"Aristote, Ethique à Nicomaque, V, 10",
2003,,Peut-on s’en tenir au présent ?,,"Bergson, La pensée et le mouvant, VI",
2002,,Comment dire la vérité ?,,"Marc-Aurèle,
Pensées, III, 9-11",
