"Année","Président","Thème d'écrit","Auteur Ecrit 1","Auteur Ecrit 2","Auteur Français 1","Titre Français 1","Section Français 1","Année Français 1","Auteur Français 2","Titre Français 2","Section Français 2","Année Français 2","Auteur  Grec","Titre Grec","Section Grec","Année Grec","Auteur Latin","Titre Latin","Section Latin","Année Latin","Auteur Allemand","Titre Allemand","Section Allemand","Année Allemand","Auteur Anglais","Titre Anglais","Section Anglais","Année Anglais","Auteur Arabe","Titre Arabe","Section Arabe","Année Arabe","Auteur Italien","Titre Italien","Section Italien","Année Italien"
"1987","?","?","Platon","","Cournot","Matérialisme, vitalisme, rationalisme","","1875","Descartes","Règles pour la direction de l'esprit","","1628","Aristote","Ethique à Nicomaque","I-III","-322.0","Spinoza","Ethique","IV","1677","Husserl","L'idée de la phénoménologie","","1907","Hume","Dialogues sur la religion naturelle","","1779","Théologie d'Aristote","Théologie d'Aristote","","840","","","",""
"1988","Jean-Claude Pariente","L'action et ses fins : la morale, la politique","Descartes","Nietzsche","Merleau-Ponty","Le visible et l'invisible","","1964","Condillac","Traité des animaux","","1755","Plotin","Ennéades "," III, 7 et 8","270.0","Sénèque","Lettres à Lucilius","90, 94, 95","65","Schelling","Sur l'essence de la liberté humaine","","1809","Locke","Essai sur l'entendement humain","VI, 1-11","1689","Averroès","Commentaire moyen aux Catégories","","1164","","","",""
"1989","Jean-Claude Pariente","La vie","Les Stoïciens","","Fichte","Considérations sur la Révolution française","","1794","Leibniz;Arnauld","Correspondance","","1690","Platon","Protagoras","","-394.0","Anselme","Proslogion","","1078","Husserl","Recherches logiques, I","I","1900","John Stuart Mill","L'utilitarisme","","1861","Théologie d'Aristote","Théologie d'Aristote","","840","","","",""
"1990","Jean-Pierre Séris","L'expression","Kant","Bergson","Aron","Introduction à la philosophie de l'histoire","","1946","Diderot","Pensées sur l'interprétation de la nature","","1754","Aristote","Métaphysique, Delta","","-322.0","Lucrèce","De la nature","III","-70","Schopenhauer","Sur les fondements de la morale","III et V","1840","Berkeley","Principes de la connaissance humaine","","1710","Averroès","Commentaire moyen aux Catégories","","1164","","","",""
"1991","?","La loi","Plotin","","Comte","Cours de philosophie positive","","1842","Spinoza","Traité de la réforme de l'entendement","","1677","Epicure","Lettre à Hérodote","","-300.0","Augustin","Le maître","","388","Hegel","Encyclopédie des sciences philosophiques en abrégé","""Concept Préliminaire""","1830","Wittgenstein","Le cahier bleu","","1934","Théologie d'Aristote","Théologie d'Aristote","","840","","","",""
"1992","?","Le sensible","Rousseau","Hegel","Sartre","L'être et le néant","III et IV","1943","Montesquieu","L'esprit des lois","I-VIII","1748","Platon","Alcibiade","","-394.0","Cicéron","De la nature des dieux","II","-45","Schiller","Sur l'éducation esthétique des humains","I-XVI","1795","Hume","Traité de la nature humaine","III","1740","Al Farabi","L'accession à la félicité","","950","","","",""
"1993","?","Le travail","L'épicurisme antique","","Duhem","La théorie physique","II, 1-6","1906","Descartes","Principes de la philosophie","II","1644","Sextus Empiricus","Esquisses pyrrhoniennes","II","300.0","Kant","Dissertation de 1770","","1770","Nietzsche","Par delà le bien et le mal","I-III","1886","Burke","Idées sur le Sublime et le Beau","II-IV","1757","Averroès","L'incohérence de l'incohérence","","1181","","","",""
"1994","?","La mesure","Leibniz","Husserl","Bayle","Pensées diverses sur la comète","I, p. 1-278","1680","Montaigne","Essais","II 12 (""Apologie de Raymond Sebon"")","1580","Aristote","De la génération et de la corruption","","-322.0","Sénèque","De la vie heureuse","","58","Kant","Idée d'une histoire universelle d'un point de vue cosmopolitique","","1784","Hobbes","Leviathan","Intro et XI-XXI","1651","Razi","La Médecine spirituelle","","900","","","",""
"1995","?","La paix","Platon","","Politzer","Critique des fondements de la psychologie","","1928","Malebranche","Conversations chrétiennes","","1677","Marc Aurèle","Pensées pour moi-même","VII-XII","180.0","Thomas d'Aquin","De l'être et de l'essence","","1256","Heidegger","Être et Temps","[-§13]","1927","Russell","La philosophie de l'atomisme logique","","1918","Ibn Tufayl","Le philosophe autodidacte","","1180","","","",""
"1996","Jean-François Marquet","Le temps","Berkeley","Kant","Maine de Biran","Mémoire sur la décomposition de la pensée","","1802","Rousseau","Emile","IV","1762","Plotin","Ennéades","V, 8","270.0","Spinoza","Ethique","V","1677","Fichte","La destination de l'être humain","II et III","1799","Locke","Second traité du gouvernement","","1689","Avicenne","De la genèse et du retour","","1020","","","",""
