"Année","Président","Thème d'écrit","Sujet Dissertation thème","Sujet Dissertation Hors programme","Sujet Dissertation Hors Programme 2","Auteur Ecrit 1","Auteur Ecrit 2","Auteur Ecrit 3","Sujet Auteur Ecrit","Auteur Français 1","Titre Français 1","Section Français 1","Année Français 1","Auteur Français 2","Titre Français 2","Section Français 2","Année Français 2","Auteur  Grec","Titre Grec","Section Grec","Année Grec","Auteur Latin","Titre Latin","Section Latin","Année Latin","Auteur Allemand","Titre Allemand","Section Allemand","Année Allemand","Auteur Anglais","Titre Anglais","Section Anglais","Année Anglais","Auteur Arabe","Titre Arabe","Section Arabe","Année Arabe","Auteur Italien","Titre Italien","Section Italien","Année Italien"
"1953","","","","La lettre peut-elle se défendre de n’être que ruine pour l'esprit?","Le jugement a-t-il un rôle dans la vie morale et lequel?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1955","","","","On lit sous la plume récente d’un philosophe contemporain : « Si l’automatisme vrai, qui est toujours secrètement psychique, ne peut appartenir qu’à la vie [...], il faut [...] qu’il y ait dans la vie même, généralement considérée, quelque principe qui prépare la psyché et qui nous en donne l’ébauche, sinon même l’image. » Dégager et apprécier le sens et la portée de ce texte.","Peut-on vraiment parler de conflits de devoirs ? Et dans l'affirmative, comment espérer les résoudre?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1956","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1957","","","","La certitude.","L'idée d'innocence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1958","","",""," Dans l’ouvrage chinois intitulé Lun Yu, où sont relatés des propos de Confucius, on lit ceci (livre II, chap. xv, § 30) : « Le philosophe a dit : J’ai passé bien des jours sans nourriture et bien des nuits sans sommeil pour me livrer à la méditation. Et tout cela pour rien; l’étude est plus féconde. » Discutez le problème général ainsi soulevé.","Un souvenir est-il incommunicable?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1959","",""," ","Qu'est-ce que comprendre ?","La douleur est-elle utile ?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1960","","","","Psychologie et métaphysique.","L'espérance est-elle une vertu ?","Aristote","Descartes","Rousseau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1961","","","","On a dit ""agir, c'est choisir"". Qu'en pensez-vous ?","Le philosophe dans la cité moderne.","Platon","Descartes","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1962","","","","Jusqu'à quel point est-on en droit d'opposer le sensible et l'intelligible ?","La bonté est-elle un comportement affectif occasionnel, un trait de caractère, une vertu morale ?","Platon","Leibniz","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1963","","","","Du progrès philosophique. La philosophie progresse-t-elle ? En quoi son progrès peut-il consister ?","Les démarches de la pensée par lesquelles nous parvenons à la connaissance des autres hommes, et celles par lesquelles nous parvenons à la connaissance des objets matériels, sont-elles foncièrement différentes ?","Les Stoïciens","L'épicurisme antique","Leibniz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1964","","","","La parole, véridique et mensongère.","Commencement de fait et commencement de droit dans la constitution d'une science démonstrative.","Les Stoïciens","L'épicurisme antique","Kant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1965","","","","L'homme peut-il réussir à se représenter un monde sans l'homme ?","Conditions de possibilité de l'objectivité dans les sciences humaines.","Aristote","Kant","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1966","","","","Quelle est la part de l'imagination dans la spéculation philosophique ?","La paix, concept philosophique et réalité politique.","Aristote","Rousseau","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1967","","","","Le mal.","""Il traduit aussi le Monde, celui qui voudrait s'en échapper. Qui pourrait s'échapper ? Le vase est clos"" (Henri Michaux). Est-ce ainsi que vous concevez la relation de l'Art au Monde ?","Platon","Rousseau","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1968","","","","","","Platon","Hegel","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1969","","","","Comment caractériser les machines actuelles ? Quelles remarques générales en tirer concernant la science des machines ?","","Les Stoïciens","Hegel","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1970","","Le langage","","Science et philosophie : comment concevez-vous leurs rapports ?","","Les Stoïciens","Leibniz","Nietzsche","Leibniz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1971","","La matière","","L'inconnu.","","Aristote","Leibniz","Nietzsche","Aristote","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1972","","Le droit ; la politique","","La critique et la crise : comment comprendre les relations de l'une à l'autre ?","","Aristote","Spinoza","Hume","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1973","","Religion et philosophie","","L'ordre et le désordre.","","Platon","Spinoza","Hume","Hume","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1974","","L’art","","Qu'est-ce que parler ?","","Platon","Kant","Bachelard","Kant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
